long_name,dob,height_cm,weight_kg,league_name,league_level,club_name,club_jersey_number,nationality_name,nation_jersey_number,preferred_foot,player_positions_desc,club_position_desc,nation_position_desc
sergio sagarzazu,1987-09-11,174,72,liga profesional,1,san martin san juan,3,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
mauro marconato,1996-05-30,184,80,liga profesional,1,club atletico colon,16,argentina,99,izquierda,"mediocampista central, mediocampista ofensivo, mediocampista izquierdo",reserva,no convocado
lucas ezequiel salas,1994-09-28,172,62,liga profesional,1,san martin san juan,10,argentina,99,derecha,mediocampista derecho,mediocampista derecho,no convocado
eric emmanuel jerez,1994-08-20,174,73,liga profesional,1,velez sarsfield,29,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
emanuel bilbao,1989-11-03,189,87,liga profesional,1,club olimpo,31,argentina,99,derecha,arquero,reserva,no convocado
osvaldo gabriel arroyo,1995-02-27,166,65,liga profesional,1,club atletico colon,34,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
rodrigo cordoba,1995-03-25,176,72,liga profesional,1,temperley,32,argentina,99,derecha,mediocampista central,suplente,no convocado
raul quiroga,1989-03-20,178,75,liga profesional,1,san martin san juan,11,argentina,99,izquierda,mediocampista izquierdo,reserva,no convocado
franco tomas quiroga,1986-12-23,176,72,liga profesional,1,atletico tucuman,26,argentina,99,derecha,"lateral derecho, mediocampista derecho",suplente,no convocado
german emmanuel gaitan,1995-07-31,165,62,liga profesional,1,belgrano,24,argentina,99,derecha,"mediocampista central, mediocampista derecho",reserva,no convocado
romel morales ramirez,1997-08-23,187,77,liga profesional,1,banfield,22,colombia,99,derecha,mediocampista ofensivo,reserva,no convocado
tomas spinelli,1993-11-16,170,62,liga profesional,1,patronato,18,argentina,99,derecha,mediocampista defensivo,suplente,no convocado
emanuel david garcia,1993-07-08,172,72,liga profesional,1,godoy cruz,32,argentina,99,derecha,"mediocampista central, mediocampista defensivo",reserva,no convocado
luis de faria,1996-02-21,180,73,liga profesional,1,godoy cruz,33,argentina,99,derecha,mediocampista defensivo,reserva,no convocado
matias gabriel contreras,1994-11-18,178,69,liga profesional,1,godoy cruz,4,argentina,99,derecha,lateral derecho,reserva,no convocado
gaston rodas,1995-06-21,166,65,liga profesional,1,temperley,18,argentina,99,derecha,delantero,suplente,no convocado
lucas damian pruzzo,1994-07-06,178,72,liga profesional,1,union santa fe,3,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
nicolas vidal,1996-01-29,169,69,liga profesional,1,chacarita juniors,25,argentina,99,derecha,mediocampista derecho,suplente,no convocado
lucas pizzatti,1998-09-13,179,70,liga profesional,1,argentinos juniors,34,argentina,99,derecha,mediocampista central,suplente,no convocado
nahuel juan adolfo cisneros,1998-02-17,169,63,liga profesional,1,defensa y justicia,23,argentina,99,izquierda,"extremo derecho, mediocampista ofensivo",reserva,no convocado
fernando ruben alarcon,1994-06-16,185,77,liga profesional,1,rosario central,3,argentina,99,izquierda,defensor central,reserva,no convocado
santiago agustin villarreal,1996-02-28,180,75,liga profesional,1,tigre,28,argentina,99,derecha,defensor central,reserva,no convocado
jonas corvalan,1996-07-10,165,65,liga profesional,1,gimnasia y esgrima la plata,20,argentina,99,derecha,delantero,suplente,no convocado
mauricio sanna,1996-10-26,174,65,liga profesional,1,atletico tucuman,38,argentina,99,derecha,extremo derecho,reserva,no convocado
antoliano santiago moyano,1997-09-23,175,80,liga profesional,1,talleres cordoba,30,argentina,99,derecha,lateral derecho,suplente,no convocado
matias medina,1998-04-11,170,64,liga profesional,1,chacarita juniors,19,argentina,99,derecha,mediocampista ofensivo,suplente,no convocado
cristian ignacio paz,1995-04-25,186,80,liga profesional,1,club atletico temperley,21,argentina,99,derecha,defensor central,reserva,no convocado
fernando redondo,1994-09-15,190,80,liga profesional,1,tigre,30,argentina,99,derecha,mediocampista derecho,reserva,no convocado
maximiliano daniel alganaraz,1996-07-14,183,76,liga profesional,1,san martin san juan,34,argentina,99,izquierda,mediocampista defensivo,suplente,no convocado
marcos javier acuna,1991-10-28,172,77,liga profesional,1,racing club,17,argentina,18,izquierda,mediocampista izquierdo,mediocampista izquierdo,suplente
sebastian driussi,1996-02-09,179,82,liga profesional,1,river plate,11,argentina,99,derecha,"delantero, extremo izquierdo",delantero derecho,no convocado
agustin ignacio orion,1981-06-26,187,85,liga profesional,1,racing club,1,argentina,99,derecha,arquero,arquero,no convocado
luciano roman aued,1987-03-01,182,81,liga profesional,1,racing club,11,argentina,99,izquierda,"mediocampista central, mediocampista defensivo",mediocentro izquierdo,no convocado
damian marcelo musto,1987-06-09,182,82,liga profesional,1,rosario central,5,argentina,99,derecha,mediocampista defensivo,mediocampista defensivo,no convocado
mathias corujo diaz,1986-05-08,170,73,liga profesional,1,san lorenzo,18,uruguay,18,derecha,"lateral derecho, mediocampista central, mediocampista derecho",suplente,suplente
arturo rafael mina meza,1990-10-08,189,89,liga profesional,1,river plate,3,ecuador,2,derecha,defensor central,suplente,defensor central izquierdo
diego daniel colotto,1981-03-10,184,83,liga profesional,1,quilmes,19,argentina,99,derecha,defensor central,defensor central derecho,no convocado
ivan daniel alonso vallejo,1979-04-10,180,78,liga profesional,1,river plate,19,uruguay,99,izquierda,delantero,suplente,no convocado
german ariel voboril,1987-05-05,175,70,liga profesional,1,newell's old boys,18,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
jonathan cristian silva,1994-06-29,178,72,liga profesional,1,boca juniors,3,argentina,99,izquierda,lateral izquierdo,lateral izquierdo,no convocado
carlos andres munoz rojas,1989-04-21,173,67,liga profesional,1,talleres cordoba,16,chile,99,derecha,delantero,suplente,no convocado
lucas elio aveldano,1985-07-19,185,83,liga profesional,1,belgrano,2,argentina,99,derecha,defensor central,defensor central derecho,no convocado
leandro gonzalez,1985-10-14,185,82,liga profesional,1,atletico tucuman,10,argentina,99,derecha,mediocampista izquierdo,mediocampista izquierdo,no convocado
jairo fabian palomino sierra,1988-08-02,182,70,liga profesional,1,atletico tucuman,26,colombia,99,derecha,"mediocampista defensivo, defensor central",suplente,no convocado
gabriel alejandro sanabria,1992-07-02,178,73,liga profesional,1,arsenal de sarandi,10,argentina,99,izquierda,mediocampista ofensivo,suplente,no convocado
gonzalo sebastian papa palleiro,1989-05-06,178,71,liga profesional,1,arsenal de sarandi,15,uruguay,99,derecha,mediocampista defensivo,suplente,no convocado
diego armando godoy vazquez,1992-04-01,174,73,liga profesional,1,union santa fe,11,paraguay,99,izquierda,mediocampista izquierdo,mediocampista izquierdo,no convocado
nelson fabian benitez,1984-05-24,179,79,liga profesional,1,atletico rafaela,31,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
lucas armando lobos,1981-08-03,176,75,liga profesional,1,gimnasia la plata,10,mexico,99,derecha,mediocampista ofensivo,suplente,no convocado
sebastian rusculleda,1985-04-29,171,74,liga profesional,1,san martin san juan,18,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
enrique gabriel meza britez,1985-11-28,183,81,liga profesional,1,atletico tucuman,16,paraguay,99,izquierda,"defensor central, lateral izquierdo",suplente,no convocado
hilario bernardo navarro,1980-11-14,192,84,liga profesional,1,banfield,1,argentina,99,derecha,arquero,arquero,no convocado
gaspar emmanuel iniguez,1994-03-26,171,76,liga profesional,1,tigre,16,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
ivan etevenaux,1989-10-20,171,67,liga profesional,1,belgrano,32,argentina,99,derecha,mediocampista derecho,mediocampista derecho,no convocado
matias sarulyte,1989-03-13,189,82,liga profesional,1,quilmes,2,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
fidencio oviedo dominguez,1987-05-30,180,82,liga profesional,1,colon,16,paraguay,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
jeisson andres vargas salazar,1997-09-15,170,68,liga profesional,1,estudiantes,16,chile,99,derecha,"extremo izquierdo, mediocampista ofensivo",suplente,no convocado
pablo campodonico,1977-10-17,184,79,liga profesional,1,aldosivi,1,argentina,99,derecha,arquero,arquero,no convocado
rodrigo bentancur colman,1997-06-05,185,73,liga profesional,1,boca juniors,30,uruguay,99,derecha,mediocampista central,suplente,no convocado
sebastian ariel romero,1978-04-27,173,75,liga profesional,1,gimnasia la plata,17,argentina,99,derecha,"mediocampista central, mediocampista izquierdo",mediocentro izquierdo,no convocado
mauricio martin romero,1983-01-13,184,80,liga profesional,1,gimnasia la plata,26,argentina,99,derecha,defensor central,defensor central derecho,no convocado
alexis nicolas castro,1984-01-23,182,73,liga profesional,1,aldosivi,18,argentina,99,derecha,mediocampista central,suplente,no convocado
martin perez guedes,1991-08-18,178,76,liga profesional,1,olimpo,30,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo, mediocampista central",suplente,no convocado
claudio luciano vazquez,1985-03-06,181,81,liga profesional,1,temperley,9,argentina,99,derecha,delantero,suplente,no convocado
esteban rodrigo burgos,1992-01-09,191,80,liga profesional,1,rosario central,2,argentina,99,derecha,defensor central,suplente,no convocado
patricio nicolas romero,1993-03-24,179,85,liga profesional,1,temperley,3,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
franco nicolas canever,1989-09-17,175,68,liga profesional,1,aldosivi,3,argentina,99,izquierda,"lateral izquierdo, defensor central",lateral izquierdo,no convocado
mauro cetto,1982-04-14,183,81,liga profesional,1,rosario central,23,argentina,99,derecha,defensor central,reserva,no convocado
cesar fabian delgado godoy,1981-08-18,175,72,liga profesional,1,rosario central,19,argentina,99,derecha,"delantero, mediocampista derecho",reserva,no convocado
diego nicolas villar,1982-04-25,170,76,liga profesional,1,union santa fe,21,argentina,99,derecha,"mediocampista derecho, mediocampista central, mediocampista izquierdo",suplente,no convocado
facundo gabriel coria,1987-05-28,180,73,liga profesional,1,quilmes,20,argentina,99,izquierda,"mediocampista ofensivo, extremo derecho, delantero",suplente,no convocado
nicolas bianchi arce,1987-01-27,188,82,liga profesional,1,sarmiento,2,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
ariel damian colzera,1986-04-15,173,74,liga profesional,1,temperley,10,argentina,99,derecha,"mediocampista ofensivo, delantero, delantero centro",suplente,no convocado
guillermo martin farre,1981-03-16,176,77,liga profesional,1,belgrano,5,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocentro derecho,no convocado
maximiliano daniel perez tambasco,1986-10-26,182,73,liga profesional,1,olimpo,10,argentina,99,derecha,"delantero, mediocampista izquierdo",reserva,no convocado
sebastian ariel penco,1983-09-22,183,82,liga profesional,1,aldosivi,9,argentina,99,derecha,delantero,suplente,no convocado
federico matias leon,1984-10-30,180,77,liga profesional,1,aldosivi,6,argentina,99,derecha,defensor central,suplente,no convocado
diego eduardo lagos,1986-03-05,176,73,liga profesional,1,colon,11,argentina,99,izquierda,"mediocampista izquierdo, extremo izquierdo, mediocampista central",suplente,no convocado
diego rafael castano,1979-06-08,191,85,liga profesional,1,tigre,5,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
joaquin antonio boghossian lorenzo,1987-06-19,197,94,liga profesional,1,arsenal de sarandi,20,uruguay,99,derecha,delantero,reserva,no convocado
javier alejandro capelli,1985-08-31,178,75,liga profesional,1,san martin san juan,4,argentina,99,derecha,"lateral derecho, defensor central",suplente,no convocado
guillermo ferracutti,1991-02-12,175,70,liga profesional,1,sarmiento,18,argentina,99,izquierda,"lateral izquierdo, mediocampista izquierdo",lateral izquierdo,no convocado
angel gaston diaz,1981-03-26,178,64,liga profesional,1,aldosivi,15,argentina,99,derecha,"lateral derecho, defensor central, mediocampista defensivo",suplente,no convocado
francisco dutari,1988-03-03,182,75,liga profesional,1,sarmiento,3,argentina,99,derecha,defensor central,suplente,no convocado
tomas berra,1991-02-19,191,75,liga profesional,1,arsenal de sarandi,16,argentina,99,derecha,defensor central,reserva,no convocado
julio cesar rodriguez gimenez,1990-12-05,182,85,liga profesional,1,arsenal de sarandi,14,paraguay,99,derecha,delantero,suplente,no convocado
matias alejandro vega,1986-04-18,191,79,liga profesional,1,aldosivi,23,argentina,99,derecha,arquero,suplente,no convocado
gabriel jesus morales,1994-04-29,179,69,liga profesional,1,atletico rafaela,10,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
fabricio orosman formiliano duarte,1993-01-14,185,79,liga profesional,1,newell's old boys,15,uruguay,99,derecha,defensor central,defensor central izquierdo,no convocado
emiliano romero clavijo,1992-09-30,180,70,liga profesional,1,atletico rafaela,15,uruguay,99,derecha,mediocampista central,mediocentro izquierdo,no convocado
gabriel nicolas benegas,1996-03-01,185,80,liga profesional,1,quilmes,11,argentina,99,derecha,delantero,suplente,no convocado
ivan arturo torres riveros,1991-02-27,178,76,liga profesional,1,colon,22,paraguay,99,izquierda,"mediocampista izquierdo, lateral izquierdo",mediocampista izquierdo,no convocado
luciano german vella,1981-04-13,175,71,liga profesional,1,arsenal de sarandi,29,argentina,99,derecha,lateral derecho,suplente,no convocado
cristian ezequiel llama,1986-06-26,179,72,liga profesional,1,aldosivi,99,argentina,99,izquierda,"extremo izquierdo, mediocampista izquierdo, mediocampista ofensivo, mediocampista central",suplente,no convocado
gonzalo martin klusener,1983-10-21,189,82,liga profesional,1,talleres cordoba,9,argentina,99,izquierda,delantero,suplente,no convocado
cristian damian trombetta,1986-10-15,193,82,liga profesional,1,quilmes,5,argentina,99,izquierda,"lateral izquierdo, defensor central",suplente,no convocado
patricio elias vidal,1992-04-08,178,70,liga profesional,1,sarmiento,16,argentina,99,derecha,"extremo derecho, delantero, extremo izquierdo, mediocampista derecho",suplente,no convocado
matias escobar,1982-04-21,185,81,liga profesional,1,quilmes,18,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
oscar matias carniello,1988-09-18,177,78,liga profesional,1,atletico rafaela,20,argentina,99,derecha,"lateral derecho, defensor central",lateral derecho,no convocado
jorge luis velazquez,1982-01-07,180,79,liga profesional,1,belgrano,19,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
lucas emmanuel perez godoy,1993-06-30,180,80,liga profesional,1,sarmiento,12,argentina,99,izquierda,mediocampista central,suplente,no convocado
raul alejandro iberbia,1989-12-25,174,71,liga profesional,1,colon,31,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
pablo ezequiel vegetti pfaffen,1988-10-15,187,81,liga profesional,1,gimnasia la plata,9,argentina,99,derecha,delantero,suplente,no convocado
ismael benegas arevalos,1987-08-01,183,75,liga profesional,1,quilmes,4,paraguay,99,derecha,defensor central,suplente,no convocado
lihue dario prichoda,1989-06-29,178,72,liga profesional,1,banfield,7,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo",reserva,no convocado
roberto sebastian brum gutierrez,1983-07-05,174,74,liga profesional,1,aldosivi,5,uruguay,99,derecha,"mediocampista defensivo, mediocampista central",mediocampista defensivo izquierdo,no convocado
luis ezequiel avila,1994-02-06,178,81,liga profesional,1,san lorenzo,14,argentina,99,izquierda,"mediocampista izquierdo, mediocampista derecho, delantero",suplente,no convocado
thomas rodriguez trogsar,1996-04-05,183,76,liga profesional,1,banfield,21,argentina,99,derecha,mediocampista derecho,reserva,no convocado
gonzalo ismael bazan,1989-05-05,167,75,liga profesional,1,arsenal de sarandi,28,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
gaston ezequiel bottino,1986-06-26,184,80,liga profesional,1,quilmes,14,argentina,99,derecha,"lateral derecho, mediocampista derecho",suplente,no convocado
jose alejandro mendez,1993-03-28,171,68,liga profesional,1,atletico tucuman,28,argentina,99,derecha,mediocampista derecho,suplente,no convocado
walter alejandro busse,1987-02-01,168,69,liga profesional,1,sarmiento,8,argentina,99,derecha,"mediocampista central, mediocampista defensivo",mediocampista defensivo derecho,no convocado
sergio daniel escudero,1983-04-12,193,82,liga profesional,1,quilmes,6,argentina,99,izquierda,"lateral izquierdo, defensor central",suplente,no convocado
eros medaglia,1994-09-07,175,70,liga profesional,1,atletico rafaela,4,argentina,99,derecha,lateral derecho,suplente,no convocado
patricio martin matricardi,1994-01-07,189,85,liga profesional,1,san martin san juan,30,argentina,99,derecha,defensor central,defensor central izquierdo,no convocado
franco martin lazzaroni,1988-02-06,184,77,liga profesional,1,san martin san juan,15,argentina,99,izquierda,defensor central,suplente,no convocado
emiliano nahuel ellacopulos,1992-01-14,175,67,liga profesional,1,tigre,17,argentina,99,izquierda,"mediocampista derecho, mediocampista ofensivo",suplente,no convocado
ramiro ezequiel arias,1993-01-06,170,63,liga profesional,1,aldosivi,13,argentina,99,izquierda,lateral izquierdo,suplente,no convocado
guillermo gaston cotugno lima,1995-03-12,177,75,liga profesional,1,talleres cordoba,6,uruguay,99,derecha,"lateral izquierdo, lateral derecho, defensor central",suplente,no convocado
juan gabriel celaya,1992-02-14,184,78,liga profesional,1,arsenal de sarandi,19,argentina,99,izquierda,defensor central,suplente,no convocado
mauro rafael albertengo,1990-01-04,186,78,liga profesional,1,atletico rafaela,11,argentina,99,derecha,delantero,suplente,no convocado
brian luis mieres,1995-07-28,172,71,liga profesional,1,san lorenzo,21,argentina,99,derecha,lateral derecho,reserva,no convocado
renso perez,1987-12-24,178,77,liga profesional,1,arsenal de sarandi,8,argentina,99,derecha,"mediocampista central, mediocampista defensivo, mediocampista derecho",mediocentro izquierdo,no convocado
luis leandro sosa otermin,1991-03-18,177,70,liga profesional,1,aldosivi,19,uruguay,99,izquierda,"mediocampista central, mediocampista izquierdo, mediocampista defensivo",mediocampista defensivo derecho,no convocado
damian david ledesma,1982-05-21,186,79,liga profesional,1,aldosivi,22,argentina,99,derecha,defensor central,suplente,no convocado
joel gustavo acosta,1991-01-16,174,76,liga profesional,1,aldosivi,21,argentina,99,derecha,"delantero, mediocampista izquierdo, mediocampista derecho, extremo izquierdo",reserva,no convocado
alan maximiliano aguirre,1993-08-13,182,80,liga profesional,1,sarmiento,19,argentina,99,derecha,lateral derecho,lateral derecho,no convocado
sebastian dario navarro,1988-02-24,177,73,liga profesional,1,aldosivi,14,argentina,99,derecha,"mediocampista defensivo, mediocampista central",suplente,no convocado
wilfredo olivera,1987-05-04,188,86,liga profesional,1,talleres cordoba,20,argentina,99,derecha,defensor central,reserva,no convocado
federico jesus flores,1992-05-18,180,75,liga profesional,1,arsenal de sarandi,26,argentina,99,derecha,mediocampista derecho,reserva,no convocado
mauro daniel dalla costa,1993-09-30,181,79,liga profesional,1,colon,29,argentina,99,izquierda,"delantero, mediocampista izquierdo",reserva,no convocado
diego armando montiel,1996-04-22,169,70,liga profesional,1,atletico rafaela,13,argentina,99,izquierda,mediocampista derecho,suplente,no convocado
salvador sanchez,1995-07-31,186,78,liga profesional,1,arsenal de sarandi,21,argentina,99,izquierda,defensor central,reserva,no convocado
tomas leonides lopez,1997-06-27,182,85,liga profesional,1,quilmes,31,argentina,99,derecha,defensor central,reserva,no convocado
nicolas ezequiel caro torres,1995-05-04,192,83,liga profesional,1,lanus,35,argentina,99,derecha,defensor central,reserva,no convocado
hector luis cuevas,1982-08-31,186,81,liga profesional,1,sarmiento,9,argentina,99,derecha,delantero,suplente,no convocado
javier nicolas burrai,1990-10-09,187,76,liga profesional,1,sarmiento,26,argentina,99,derecha,arquero,arquero,no convocado
nicolas fabian rodriguez,1993-05-12,191,83,liga profesional,1,temperley,35,argentina,99,derecha,arquero,suplente,no convocado
luciano andres vargas,1994-01-28,186,74,liga profesional,1,estudiantes,34,argentina,99,derecha,defensor central,reserva,no convocado
guido rossetti,1993-05-12,185,80,liga profesional,1,atletico rafaela,32,argentina,99,derecha,arquero,suplente,no convocado
kevin alejandro ceceri,1996-02-02,186,81,liga profesional,1,gimnasia la plata,3,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
gaston pinedo,1998-02-18,170,72,liga profesional,1,quilmes,30,argentina,99,derecha,mediocampista central,reserva,no convocado
horacio martin ramirez,1984-03-21,186,82,liga profesional,1,quilmes,25,argentina,99,derecha,arquero,suplente,no convocado
ezequiel d'angelo,1989-04-05,187,79,liga profesional,1,olimpo,14,argentina,99,izquierda,mediocampista ofensivo,reserva,no convocado
angel alejandro garcia,1992-02-26,177,72,liga profesional,1,racing club,35,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
oscar ezequiel jonathan parnisari,1990-06-01,184,79,liga profesional,1,olimpo,24,argentina,99,derecha,"lateral derecho, defensor central",suplente,no convocado
nicolas rinaldi,1990-08-23,185,78,liga profesional,1,sarmiento,22,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
federico maya,1993-10-06,175,70,liga profesional,1,defensa y justicia,41,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
nicolas francisco canavessio,1993-09-17,181,80,liga profesional,1,atletico rafaela,6,argentina,99,derecha,defensor central,suplente,no convocado
mateo castellano,1996-03-22,181,78,liga profesional,1,atletico rafaela,5,argentina,99,izquierda,mediocampista central,suplente,no convocado
ignacio bonadio,1993-07-27,174,70,liga profesional,1,tigre,24,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
enzo michel acosta,1996-11-30,174,76,liga profesional,1,quilmes,24,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
robertino insua,1994-03-28,170,69,liga profesional,1,union santa fe,32,argentina,99,derecha,mediocampista ofensivo,reserva,no convocado
santiago nicolas paz,1996-10-06,175,70,liga profesional,1,atletico rafaela,30,argentina,99,derecha,mediocampista defensivo,suplente,no convocado
gonzalo ariel ontivero,1994-11-14,179,77,liga profesional,1,atletico tucuman,36,argentina,99,derecha,delantero,reserva,no convocado
oscar ain acosta luna,1994-09-09,190,77,liga profesional,1,defensa y justicia,22,argentina,99,izquierda,arquero,reserva,no convocado
jose luis valdez,1998-04-14,174,76,liga profesional,1,quilmes,28,argentina,99,derecha,delantero,reserva,no convocado
ivo facundo chaves,1993-06-30,175,72,liga profesional,1,talleres cordoba,4,argentina,99,derecha,"lateral derecho, mediocampista derecho",reserva,no convocado
daniel roberto garro,1990-10-25,185,79,liga profesional,1,sarmiento,31,argentina,99,izquierda,mediocampista izquierdo,suplente,no convocado
javier raul fernandez,1992-05-27,176,73,liga profesional,1,temperley,22,argentina,99,derecha,mediocampista izquierdo,suplente,no convocado
manuel bustos,1992-09-09,183,68,liga profesional,1,atletico rafaela,26,argentina,99,derecha,delantero,reserva,no convocado
lucas ezequiel cuevas,1996-11-09,175,68,liga profesional,1,huracan,25,argentina,99,derecha,mediocampista derecho,reserva,no convocado
manuel agustin falon,1995-07-05,170,70,liga profesional,1,huracan,36,argentina,99,derecha,mediocampista izquierdo,reserva,no convocado
nicolas jesus ciribe,1995-03-14,189,76,liga profesional,1,aldosivi,12,argentina,99,derecha,arquero,suplente,no convocado
gianfranco ferrero,1993-08-25,175,72,liga profesional,1,atletico rafaela,28,colombia,99,derecha,lateral izquierdo,reserva,no convocado
juan pablo noce,1997-08-05,187,74,liga profesional,1,gimnasia la plata,33,argentina,99,derecha,arquero,suplente,no convocado
adrian leandro dominguez,1991-04-11,178,69,liga profesional,1,defensa y justicia,32,argentina,99,derecha,arquero,reserva,no convocado
agustin araujo,1999-06-07,160,59,liga profesional,1,racing club,26,argentina,99,izquierda,mediocampista izquierdo,reserva,no convocado
matias alberto mansilla,1996-01-21,177,75,liga profesional,1,rosario central,26,argentina,99,izquierda,mediocampista central,reserva,no convocado
diego alberto torres,1982-07-03,171,68,liga profesional,1,quilmes,26,argentina,99,derecha,"delantero, extremo derecho",reserva,no convocado
santiago magallan,1992-05-08,185,78,liga profesional,1,union santa fe,8,argentina,99,derecha,"mediocampista ofensivo, mediocampista defensivo",reserva,no convocado
maximiliano mendez,1995-10-31,174,70,liga profesional,1,sarmiento,15,argentina,99,derecha,lateral derecho,reserva,no convocado
nahuel pajaro,1997-05-09,180,70,liga profesional,1,aldosivi,29,argentina,99,derecha,mediocampista central,reserva,no convocado
rodrigo pascual viega alves,1991-08-07,180,75,liga profesional,1,temperley,13,uruguay,99,derecha,mediocampista derecho,suplente,no convocado
nicolas ariel alvarez,1990-01-22,176,81,liga profesional,1,olimpo,4,argentina,99,derecha,lateral derecho,reserva,no convocado
diego martin gurri bentancor,1993-02-23,178,64,liga profesional,1,tigre,9,uruguay,99,derecha,mediocampista derecho,suplente,no convocado
braian alejandro guille,1997-07-31,170,69,liga profesional,1,racing club,23,argentina,99,izquierda,delantero,reserva,no convocado
enzo gaggi,1998-01-14,175,68,liga profesional,1,atletico rafaela,17,argentina,99,derecha,mediocampista central,reserva,no convocado
ariel armando kippes,1994-02-25,182,70,liga profesional,1,sarmiento,35,argentina,99,derecha,defensor central,reserva,no convocado
facundo gaston soloa,1996-11-04,178,73,liga profesional,1,atletico rafaela,21,argentina,99,derecha,mediocampista defensivo,suplente,no convocado
enzo maximiliano roggio,1996-11-13,179,84,liga profesional,1,belgrano,39,argentina,99,derecha,delantero,reserva,no convocado
brandon nicolas obregon,1996-05-23,170,68,liga profesional,1,quilmes,36,argentina,99,derecha,mediocampista ofensivo,reserva,no convocado
matias alejandro mayer,1996-03-11,181,74,liga profesional,1,olimpo,21,argentina,99,derecha,delantero,suplente,no convocado
andres zanini,1997-01-18,178,73,liga profesional,1,tigre,12,argentina,99,derecha,defensor central,reserva,no convocado
sebastian balmaceda,1996-10-08,175,70,liga profesional,1,tigre,37,argentina,99,derecha,mediocampista derecho,reserva,no convocado
cristian gorgerino,1996-12-06,174,73,liga profesional,1,belgrano,31,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
marcos damian maydana,1995-06-26,174,68,liga profesional,1,patronato,39,argentina,99,derecha,mediocampista defensivo,reserva,no convocado
federico pieretto,1996-04-26,177,72,liga profesional,1,sarmiento,30,argentina,99,derecha,defensor central,reserva,no convocado
joaquin vivani,1996-06-30,170,66,liga profesional,1,sarmiento,32,argentina,99,derecha,mediocampista ofensivo,reserva,no convocado
santiago walter rosa,1996-03-20,182,78,liga profesional,1,belgrano,1,argentina,99,derecha,arquero,suplente,no convocado
yamil silva,1996-12-30,178,75,liga profesional,1,patronato,27,argentina,99,derecha,mediocampista defensivo,reserva,no convocado
rodrigo nahuel erramuspe,1990-05-03,187,81,liga profesional,1,union santa fe,2,argentina,99,derecha,"defensor central, lateral derecho",defensor central derecho,no convocado
robin ariel ramirez gonzalez,1989-11-11,171,70,liga profesional,1,atletico rafaela,19,paraguay,99,derecha,delantero,suplente,no convocado
nicolas marcelo stefanelli,1994-11-22,166,72,liga profesional,1,defensa y justicia,15,argentina,99,derecha,"delantero, mediocampista ofensivo",suplente,no convocado
teofilo antonio gutierrez roncancio,1985-05-17,178,82,liga profesional,1,rosario central,29,colombia,99,derecha,delantero,delantero derecho,no convocado
gabriel alejandro vargas venegas,1983-12-08,172,74,liga profesional,1,patronato,25,chile,99,derecha,delantero,suplente,no convocado
gabriel alejandro baez corradi,1995-07-21,182,70,liga profesional,1,newell's old boys,35,argentina,99,izquierda,lateral izquierdo,reserva,no convocado
juan sebastian veron,1975-03-09,186,81,liga profesional,1,estudiantes,11,argentina,99,derecha,"mediocampista central, mediocampista defensivo",suplente,no convocado
miguel julio,1992-02-21,181,75,liga profesional,1,atletico tucuman,21,colombia,99,derecha,mediocampista defensivo,suplente,no convocado
agustin pascucci,1994-01-13,173,69,liga profesional,1,sarmiento,14,argentina,99,derecha,mediocampista central,reserva,no convocado
tomas martin baroni,1995-05-25,183,72,liga profesional,1,atletico rafaela,14,argentina,99,derecha,defensor central,reserva,no convocado
martin sarrafiore,1997-07-20,180,70,liga profesional,1,huracan,32,argentina,99,derecha,delantero,reserva,no convocado
mario bolatti,1985-02-17,190,81,liga profesional,1,belgrano,30,argentina,99,derecha,"mediocampista central, mediocampista defensivo",reserva,no convocado
francesco daniel celeste,1994-05-03,178,72,liga profesional,1,quilmes,16,argentina,99,derecha,"mediocampista derecho, mediocampista izquierdo",suplente,no convocado
